"Fecha","Adj_close"
2025-04-15,382.799438476562
2025-04-16,368.786712646484
2025-04-17,364.98583984375
2025-04-21,356.391632080078
2025-04-22,364.033111572266
2025-04-23,371.545593261719
2025-04-24,384.357482910156
2025-04-25,388.872985839844
2025-04-28,388.188201904297
2025-04-29,391.046295166016
2025-04-30,392.257049560547
2025-05-01,422.168029785156
2025-05-02,431.972991943359
2025-05-05,432.856231689453
2025-05-06,430.017944335938
2025-05-07,430.057647705078
2025-05-08,434.841003417969
2025-05-09,435.396759033203
2025-05-12,445.846771240234
2025-05-13,445.727722167969
2025-05-14,449.498809814453
2025-05-15,450.512908935547
2025-05-16,451.646331787109
2025-05-19,456.219757080078
2025-05-20,455.523834228516
2025-05-21,449.956176757812
2025-05-22,452.232940673828
2025-05-23,447.579956054688
2025-05-27,458.029266357422
2025-05-28,454.718475341797
2025-05-29,456.030883789062
2025-05-30,457.701141357422
2025-06-02,459.301849365234
2025-06-03,460.296081542969
2025-06-04,461.190887451172
2025-06-05,464.978881835938
2025-06-06,467.663299560547
2025-06-09,470.019622802734
2025-06-10,468.2001953125
2025-06-11,469.890380859375
2025-06-12,476.104248046875
2025-06-13,472.216827392578
2025-06-16,476.372711181641
2025-06-17,475.279052734375
2025-06-18,477.466339111328
2025-06-20,474.642730712891
2025-06-23,483.193084716797
2025-06-24,487.279296875
2025-06-25,489.426849365234
2025-06-26,494.576965332031
2025-06-27,493.075653076172
2025-06-30,494.537200927734
2025-07-01,489.208129882812
2025-07-02,488.253692626953
2025-07-03,495.958923339844
2025-07-07,494.845397949219
2025-07-08,493.751739501953
2025-07-09,500.601959228516
2025-07-10,498.583679199219
2025-07-11,500.413055419922
2025-07-14,500.114776611328
2025-07-15,502.898620605469
2025-07-16,502.699768066406
2025-07-17,508.744659423828
2025-07-18,507.104187011719
2025-07-21,507.114135742188
2025-07-22,502.351776123047
2025-07-23,502.948303222656
2025-07-24,507.929412841797
2025-07-25,510.743041992188
2025-07-28,509.5400390625
2025-07-29,509.609619140625
2025-07-30,510.275756835938
2025-07-31,530.418762207031
2025-08-01,521.082946777344
2025-08-04,532.546447753906
2025-08-05,524.701904296875
2025-08-06,521.908203125
2025-08-07,517.831909179688
2025-08-08,519.024841308594
2025-08-11,518.756469726562
2025-08-12,526.183349609375
2025-08-13,517.573425292969
2025-08-14,519.46240234375
2025-08-15,517.165710449219
2025-08-18,514.113464355469
2025-08-19,506.825775146484
2025-08-20,502.799224853516
2025-08-21,502.15185546875
2025-08-22,505.129516601562
2025-08-25,502.171813964844
2025-08-26,499.960998535156
2025-08-27,504.641540527344
2025-08-28,507.529541015625
2025-08-29,504.591735839844
2025-09-02,503.028228759766
2025-09-03,503.257293701172
2025-09-04,505.866455078125
2025-09-05,492.950164794922
2025-09-08,496.136901855469
2025-09-09,496.346008300781
2025-09-10,498.297912597656
2025-09-11,498.935272216797
2025-09-12,507.788452148438
2025-09-15,513.225830078125
2025-09-16,506.932006835938
2025-09-17,507.907928466797
2025-09-18,506.344451904297
2025-09-19,515.785217285156
2025-09-22,512.319641113281
2025-09-23,507.121246337891
2025-09-24,508.037384033203
2025-09-25,504.930328369141
2025-09-26,509.341949462891
2025-09-29,512.468933105469
2025-09-30,515.805114746094
2025-10-01,517.557800292969
2025-10-02,513.604187011719
2025-10-03,515.20751953125
2025-10-06,526.381164550781
2025-10-07,521.810119628906
2025-10-08,522.676513671875
2025-10-09,520.236694335938
2025-10-10,508.844055175781
2025-10-13,511.921264648438
2025-10-14,511.443206787109
2025-10-15,511.303833007812
